ID;Active;Name;Parent ID;Parent Name;Root Category
3;1;Strona główna;2;;1
4;1;Zdrowie i kondycja;2;;1
5;1;Witaminy i minerały;4;Zdrowie i kondycja;0
6;1;Elektrolity;5;Witaminy i minerały;0
7;1;Odżywki i suplementy;2;;1
8;1;Białko;7;Odżywki i suplementy;0
9;1;Białko serwatkowe;8;Białko;0
10;1;Zestaw witamin i minerałów;5;Witaminy i minerały;0
11;1;Zdrowie;4;Zdrowie i kondycja;0
12;1;Odporność i wzmocnienie;11;Zdrowie;0
13;1;Witaminy;5;Witaminy i minerały;0
14;1;Kreatyna;7;Odżywki i suplementy;0
15;1;Monohydrat kreatyny;14;Kreatyna;0
16;1;Zdrowa Żywność;2;;1
17;1;Napoje;16;Zdrowa Żywność;0
18;1;Napoje do przygotowania;17;Napoje;0
19;1;Odżywki Przedtreningowe;7;Odżywki i suplementy;0
20;1;Cytrulina;19;Odżywki Przedtreningowe;0
21;1;Redukcja stresu i sen;11;Zdrowie;0
22;1;Kuchnia i dieta;16;Zdrowa Żywność;0
23;1;Przyprawy i aromaty;22;Kuchnia i dieta;0
24;1;Ochrona stawów;7;Odżywki i suplementy;0
25;1;Kolagen;24;Ochrona stawów;0
26;1;Adaptogeny;11;Zdrowie;0
27;1;Zamienniki cukru;22;Kuchnia i dieta;0
28;1;Minerały;5;Witaminy i minerały;0
29;1;Masła i kremy;22;Kuchnia i dieta;0
30;1;Izolat białka;8;Białko;0
31;1;Galaretki i kisiele;22;Kuchnia i dieta;0
32;1;Akcesoria i ubrania;2;ROOT;1
33;1;Akcesoria treningowe;32;Akcesoria i ubrania;0
34;1;Shakery i kanistry;33;Akcesoria treningowe;0
35;1;Pozostałe akcesoria;33;Akcesoria treningowe;0
36;1;Kazeina micelarna;8;Białko;0
37;1;Antyoksydanty;11;Zdrowie;0
38;1;Odżywki na masę;7;Odżywki i suplementy;0
39;1;Gainery - Odżywki na masę;38;Odżywki na masę;0
40;1;Beta Alanina;19;Odżywki Przedtreningowe;0
41;1;Mieszanki białek;8;Białko;0
42;1;Shoty;7;Odżywki i suplementy;0
43;1;Shoty przed treningiem;42;Shoty;0
44;1;Słodycze i przekąski;16;Zdrowa Żywność;0
45;1;Pozostałe słodycze i przekąski;44;Słodycze i przekąski;0
46;1;Arginina i cytrulina;19;Odżywki Przedtreningowe;0
47;1;Budynie i kaszki;22;Kuchnia i dieta;0
48;1;Sosy i syropy;22;Kuchnia i dieta;0
49;1;Danie gotowe;16;Zdrowa Żywność;0
50;1;Obiady;49;Danie gotowe;0
51;1;Aminokwasy;7;Odżywki i suplementy;0
52;1;EAA;51;Aminokwasy;0
